lookback_1,label,duration,file,position
F-quartal trichord,F-major-second major tetrachord,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",21
F-major-second major tetrachord,F-major triad,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",22
F-major triad,Minor Third above A,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",23
Minor Third above A,Minor Sixth above E,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",24
Minor Sixth above E,Minor Sixth above E,5/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",25
Minor Sixth above E,Minor Seventh above D,1.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",26
Minor Seventh above D,D,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",27
D,Major Sixth above D,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",28
Major Sixth above D,B,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",29
B,C,1.0,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",30
C,Major Third above C,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",31
Major Third above C,C-incomplete major-seventh chord,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",32
C-incomplete major-seventh chord,C-major seventh chord,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",33
C-major seventh chord,Minor Third above E,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",34
Minor Third above E,E,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",35
E,B,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",36
B,Major Sixth above D,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",37
Major Sixth above D,B-incomplete minor-seventh chord,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",38
B-incomplete minor-seventh chord,G-major-second major tetrachord,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",39
G-major-second major tetrachord,G-major-second major tetrachord,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",40
G-major-second major tetrachord,G-major-ninth chord,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",41
G-major-ninth chord,G-major-ninth chord,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",42
G-major-ninth chord,G,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",43
G,G,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",44
G,Perfect Fifth above G,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",45
Perfect Fifth above G,G-major triad,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",46
G-major triad,G-major triad,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",47
G-major triad,G-major triad,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",48
G-major triad,Perfect Fifth above G,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",49
Perfect Fifth above G,Perfect Fifth above G,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",50
Perfect Fifth above G,Perfect Fifth above G,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",51
Perfect Fifth above G,Perfect Fourth above D,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",52
Perfect Fourth above D,Perfect Fifth above G,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",53
Perfect Fifth above G,E-tritone-fourth,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",54
E-tritone-fourth,Major Seventh above F,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",55
Major Seventh above F,D-minor trichord,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",56
D-minor trichord,D-minor trichord,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",57
D-minor trichord,D-minor trichord,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",58
D-minor trichord,F,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",59
F,C-major triad,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",60
C-major triad,C-major triad,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",61
C-major triad,Minor Third above E,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",62
Minor Third above E,C-major triad,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",63
C-major triad,C,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",64
C,Perfect Fifth above F,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",65
Perfect Fifth above F,D-incomplete minor-seventh chord,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",66
D-incomplete minor-seventh chord,D-minor seventh chord,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",67
D-minor seventh chord,D-minor seventh chord,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",68
D-minor seventh chord,D-minor seventh chord,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",69
D-minor seventh chord,D-minor seventh chord,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",70
D-minor seventh chord,D-minor seventh chord,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",71
D-minor seventh chord,D-incomplete dominant-seventh chord,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",72
D-incomplete dominant-seventh chord,Major Sixth above C,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",73
Major Sixth above C,G-major triad,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",74
G-major triad,G-major triad,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",75
G-major triad,G-major triad,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",76
G-major triad,E-minor seventh chord,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",77
E-minor seventh chord,E-minor triad,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",78
E-minor triad,B,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",79
B,B-diminished triad,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",80
B-diminished triad,B-diminished triad,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",81
B-diminished triad,B-diminished triad,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",82
B-diminished triad,G-dominant seventh chord,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",83
G-dominant seventh chord,Perfect Fourth above D,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",84
Perfect Fourth above D,Minor Third above E,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",85
Minor Third above E,C-major triad,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",86
C-major triad,C-major triad,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",87
C-major triad,Perfect Fifth above C,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",88
Perfect Fifth above C,G,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",89
G,D-minor seventh chord,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",90
D-minor seventh chord,D-minor seventh chord,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",91
D-minor seventh chord,D-major pentatonic,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",92
D-major pentatonic,G-dominant-eleventh,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",93
G-dominant-eleventh,B-minor tetramirror,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",94
B-minor tetramirror,Major Second above A,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",95
Major Second above A,A,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",96
A,F-major-second major tetrachord,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",97
F-major-second major tetrachord,F-major-second major tetrachord,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",98
F-major-second major tetrachord,F-major-ninth chord,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",99
F-major-ninth chord,C-perfect-fourth major tetrachord,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",100
C-perfect-fourth major tetrachord,Minor Sixth above E,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",101
Minor Sixth above E,E-minor triad,1.0,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",102
E-minor triad,F-major triad,1.0,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",103
F-major triad,F-major triad,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",104
F-major triad,F-major triad,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",105
F-major triad,F-all-interval tetrachord,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",106
F-all-interval tetrachord,F-all-interval tetrachord,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",107
F-all-interval tetrachord,F-all-interval tetrachord,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",108
F-all-interval tetrachord,F-all-interval tetrachord,7/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",109
F-all-interval tetrachord,F-Hirajoshi pentatonic,1.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",110
F-Hirajoshi pentatonic,F-major triad,5/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",111
F-major triad,C-incomplete major-seventh chord,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",112
C-incomplete major-seventh chord,Minor Second above B,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",113
Minor Second above B,B,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",114
B,A,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",115
A,Minor Third above A,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",116
Minor Third above A,Minor Third above A,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",117
Minor Third above A,A-minor triad,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",118
A-minor triad,A-minor seventh chord,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",119
A-minor seventh chord,Major Second above G,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",120
Major Second above G,B,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",121
B,B,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",122
B,Major Sixth above D,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",123
Major Sixth above D,B-incomplete minor-seventh chord,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",124
B-incomplete minor-seventh chord,G-major-second major tetrachord,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",125
G-major-second major tetrachord,G-major-second major tetrachord,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",126
G-major-second major tetrachord,G-major-ninth chord,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",127
G-major-ninth chord,G-major-ninth chord,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",128
G-major-ninth chord,G-whole-tone trichord,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",129
G-whole-tone trichord,Major Second above A,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",130
Major Second above A,B,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",131
B,Minor Sixth above B,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",132
Minor Sixth above B,G,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",133
G,G,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",134
G,Perfect Fifth above G,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",135
Perfect Fifth above G,G-major triad,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",136
G-major triad,E-minor seventh chord,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",137
E-minor seventh chord,E-minor seventh chord,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",138
E-minor seventh chord,B,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",139
B,Major Sixth above G,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",140
Major Sixth above G,Minor Third above D,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",141
Minor Third above D,Minor Third above D,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",142
Minor Third above D,D-minor triad,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",143
D-minor triad,D-minor triad,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",144
D-minor triad,D-minor seventh chord,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",145
D-minor seventh chord,D-minor seventh chord,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",146
D-minor seventh chord,Minor Third above A,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",147
Minor Third above A,E,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",148
E,Major Sixth above G,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",149
Major Sixth above G,E-phrygian trichord,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",150
E-phrygian trichord,E-all-interval tetrachord,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",151
E-all-interval tetrachord,E-minor-diminished ninth chord,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",152
E-minor-diminished ninth chord,E-minor-diminished ninth chord,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",153
E-minor-diminished ninth chord,E-minor-diminished ninth chord,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",154
E-minor-diminished ninth chord,E-minor-diminished ninth chord,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",155
E-minor-diminished ninth chord,E-all-interval tetrachord,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",156
E-all-interval tetrachord,E-minor triad,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",157
E-minor triad,C,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",158
C,C,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",159
C,Perfect Fifth above C,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",160
Perfect Fifth above C,C-major triad,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",161
C-major triad,C-major triad,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",162
C-major triad,C-major triad,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",163
C-major triad,Perfect Fifth above C,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",164
Perfect Fifth above C,Perfect Fourth above G,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",165
Perfect Fourth above G,A-minor triad,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",166
A-minor triad,A-minor seventh chord,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",167
A-minor seventh chord,A-minor seventh chord,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",168
A-minor seventh chord,A-minor seventh chord,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",169
A-minor seventh chord,C-major triad,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",170
C-major triad,G-major triad,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",171
G-major triad,Minor Third above B,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",172
Minor Third above B,G-major triad,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",173
G-major triad,G-major triad,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",174
G-major triad,G-major triad,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",175
G-major triad,Perfect Fourth above D,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",176
Perfect Fourth above D,G,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",177
G,A-incomplete minor-seventh chord,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",178
A-incomplete minor-seventh chord,A-incomplete minor-seventh chord,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",179
A-incomplete minor-seventh chord,A-minor seventh chord,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",180
A-minor seventh chord,A-minor seventh chord,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",181
A-minor seventh chord,D-major triad,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",182
D-major triad,D-major triad,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",183
D-major triad,Perfect Fifth above D,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",184
Perfect Fifth above D,B-incomplete minor-seventh chord,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",185
B-incomplete minor-seventh chord,B-incomplete minor-seventh chord,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",186
B-incomplete minor-seventh chord,Perfect Fourth above A,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",187
Perfect Fourth above A,F#-diminished triad,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",188
F#-diminished triad,F#-diminished triad,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",189
F#-diminished triad,D-dominant seventh chord,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",190
D-dominant seventh chord,Perfect Fourth above A,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",191
Perfect Fourth above A,D,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",192
D,Minor Third above B,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",193
Minor Third above B,G-major triad,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",194
G-major triad,G-major triad,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",195
G-major triad,G-major triad,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",196
G-major triad,Perfect Fifth above G,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",197
Perfect Fifth above G,F#-half-diminished seventh chord,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",198
F#-half-diminished seventh chord,A-minor triad,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",199
A-minor triad,A-perfect-fourth minor tetrachord,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",200
A-perfect-fourth minor tetrachord,A-perfect-fourth minor tetrachord,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",201
A-perfect-fourth minor tetrachord,A-dorian pentachord,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",202
A-dorian pentachord,A-perfect-fourth minor tetrachord,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",203
A-perfect-fourth minor tetrachord,D-dominant-ninth,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",204
D-dominant-ninth,F#-incomplete minor-seventh chord,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",205
F#-incomplete minor-seventh chord,F#-incomplete minor-seventh chord,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",206
F#-incomplete minor-seventh chord,E,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",207
E,C-major-second major tetrachord,11/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",208
C-major-second major tetrachord,C-major-ninth chord,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",209
C-major-ninth chord,E-minor triad,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",210
E-minor triad,Minor Sixth above B,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",211
Minor Sixth above B,G-major seventh chord,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",212
G-major seventh chord,G-major seventh chord,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",213
G-major seventh chord,B-minor triad,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",214
B-minor triad,B-minor triad,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",215
B-minor triad,C-major seventh chord,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",216
C-major seventh chord,C-major seventh chord,13/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",217
C-major seventh chord,C-major triad,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",218
C-major triad,C-all-interval tetrachord,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",219
C-all-interval tetrachord,C-major triad,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",220
C-major triad,E,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",221
E,Major Sixth above G,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",222
Major Sixth above G,Major Sixth above G,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",223
Major Sixth above G,E-minor triad,3.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",224
E-minor triad,E,1.0,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",225
E,E-minor triad,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",226
E-minor triad,Minor Third above E,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",227
Minor Third above E,E-minor triad,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",228
E-minor triad,E-minor seventh chord,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",229
E-minor seventh chord,Perfect Fifth above B,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",230
Perfect Fifth above B,F#,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",231
F#,Major Sixth above A,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",232
Major Sixth above A,Major Sixth above A,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",233
Major Sixth above A,F#-phrygian trichord,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",234
F#-phrygian trichord,F#-all-interval tetrachord,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",235
