lookback_1,label,duration,file,position
16512,16512,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",50
16512,16512,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",51
16512,132,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",52
132,16512,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",53
16512,67616,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",54
67616,65568,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",55
65568,81952,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",56
81952,81952,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",57
81952,81952,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",58
81952,32,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",59
32,4240,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",60
4240,4240,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",61
4240,144,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",62
144,4240,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",63
4240,1,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",64
1,4128,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",65
4128,4132,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",66
4132,4644,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",67
4644,4644,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",68
4644,4644,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",69
4644,549,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",70
549,549,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",71
549,517,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",72
517,513,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",73
513,542720,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",74
542720,542720,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",75
542720,542720,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",76
542720,18576,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",77
18576,591872,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",78
591872,2048,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",79
2048,18464,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",80
18464,18464,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",81
18464,18464,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",82
18464,18592,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",83
18592,132,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",84
132,144,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",85
144,4240,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",86
4240,4240,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",87
4240,129,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",88
129,128,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",89
128,4644,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",90
4644,4644,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",91
4644,152192,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",92
152192,154240,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",93
154240,23040,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",94
23040,2560,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",95
2560,512,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",96
512,659968,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",97
659968,659968,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",98
659968,725504,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",99
725504,4272,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",100
4272,4112,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",101
4112,67712,1.0,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",102
67712,4640,1.0,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",103
4640,4640,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",104
4640,4640,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",105
4640,6688,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",106
6688,6688,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",107
6688,6688,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",108
6688,6688,7/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",109
6688,72224,1.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",110
72224,4640,5/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",111
4640,71680,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",112
71680,6144,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",113
6144,2048,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",114
2048,512,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",115
512,4608,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",116
4608,4608,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",117
4608,4624,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",118
4624,4752,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",119
4752,640,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",120
640,2048,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",121
2048,2048,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",122
2048,2052,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",123
2052,2564,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",124
2564,2692,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",125
2692,2692,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",126
2692,2756,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",127
2756,2756,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",128
2756,2688,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",129
2688,2560,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",130
2560,2048,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",131
2048,526336,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",132
526336,128,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",133
128,128,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",134
128,16512,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",135
16512,18560,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",136
18560,84096,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",137
84096,84096,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",138
84096,2048,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",139
2048,65664,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",140
65664,36,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",141
36,36,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",142
36,548,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",143
548,548,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",144
548,4644,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",145
4644,4644,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",146
4644,4608,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",147
4608,16,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",148
16,65664,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",149
65664,196736,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",150
196736,198784,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",151
198784,215168,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",152
215168,215168,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",153
215168,215168,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",154
215168,215168,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",155
215168,198784,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",156
198784,67712,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",157
67712,1,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",158
1,1,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",159
1,129,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",160
129,145,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",161
145,145,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",162
145,145,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",163
145,129,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",164
129,4224,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",165
4224,529,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",166
529,657,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",167
657,657,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",168
657,657,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",169
657,145,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",170
145,542720,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",171
542720,18432,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",172
18432,542720,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",173
542720,542720,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",174
542720,542720,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",175
542720,132,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",176
132,128,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",177
128,528896,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",178
528896,528896,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",179
528896,594432,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",180
594432,70272,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",181
70272,16960,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",182
16960,16960,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",183
16960,516,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",184
516,2564,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",185
2564,2564,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",186
2564,16896,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",187
16896,577,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",188
577,577,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",189
577,581,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",190
581,16896,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",191
16896,4,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",192
4,18432,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",193
18432,542720,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",194
542720,18560,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",195
18560,18560,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",196
18560,16512,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",197
16512,70208,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",198
70208,70144,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",199
70144,4628,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",200
4628,4628,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",201
4628,6676,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",202
6676,4628,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",203
4628,4692,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",204
4692,328192,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",205
328192,592,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",206
592,16,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",207
16,20624,11/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",208
20624,22672,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",209
22672,2192,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",210
2192,526336,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",211
526336,280704,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",212
280704,280704,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",213
280704,2116,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",214
2116,280576,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",215
280576,595968,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",216
595968,595968,13/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",217
595968,145,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",218
145,209,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",219
209,145,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",220
145,16,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",221
16,65664,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",222
65664,65664,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",223
65664,67712,3.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",224
67712,16,1.0,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",225
16,591872,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",226
591872,144,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",227
144,591872,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",228
591872,608256,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",229
608256,264192,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",230
264192,64,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",231
64,262656,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",232
262656,262656,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",233
262656,786944,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",234
786944,795136,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",235
795136,860672,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",236
860672,860672,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",237
860672,860672,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",238
860672,860672,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",239
860672,860672,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",240
860672,860672,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",241
860672,795136,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",242
795136,65664,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",243
65664,16,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",244
16,20,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",245
20,4116,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",246
4116,4116,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",247
4116,4628,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",248
4628,4692,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",249
4692,4692,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",250
4692,4692,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",251
4692,580,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",252
580,16,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",253
16,52,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",254
52,36,11/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",255
36,548,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",256
548,548,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",257
548,4644,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",258
4644,4608,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",259
4608,1,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",260
1,67584,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",261
67584,16,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",262
16,65664,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",263
65664,196736,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",264
196736,198784,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",265
198784,215168,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",266
215168,215168,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",267
215168,215168,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",268
215168,18560,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",269
18560,128,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",270
128,1,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",271
1,1,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",272
1,129,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",273
129,145,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",274
145,149,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",275
149,149,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",276
149,149,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",277
149,149,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",278
149,129,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",279
129,1,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",280
1,2164736,5/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",281
2164736,2689024,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",282
2689024,591872,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",283
591872,2689024,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",284
2689024,640,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",285
640,2099200,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",286
2099200,70144,1.0,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",287
70144,70144,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",288
70144,70144,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",289
70144,1,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",290
1,69760,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",291
69760,71808,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",292
71808,71808,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",293
