lookback_1,lookback_2,lookback_3,lookback_4,lookback_5,label,duration,file,position
645,640,645,517,512,2560,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",24
640,645,517,512,2560,2561,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",25
645,517,512,2560,2561,513,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",26
517,512,2560,2561,513,657,5/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",27
512,2560,2561,513,657,656,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",28
2560,2561,513,657,656,144,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",29
2561,513,657,656,144,145,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",30
513,657,656,144,145,177,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",31
657,656,144,145,177,33,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",32
656,144,145,177,33,32,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",33
144,145,177,33,32,33,2/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",34
145,177,33,32,33,161,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",35
177,33,32,33,161,176,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",36
33,32,33,161,176,144,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",37
32,33,161,176,144,144,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",38
33,161,176,144,144,145,5/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",39
161,176,144,144,145,149,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",40
176,144,144,145,149,149,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",41
144,144,145,149,149,16,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",42
144,145,149,149,16,21,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",43
145,149,149,16,21,16,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",44
149,149,16,21,16,2064,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",45
149,16,21,16,2064,2065,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",46
16,21,16,2064,2065,17,5/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",47
21,16,2064,2065,17,544,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",48
16,2064,2065,17,544,545,0.75,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",49
2064,2065,17,544,545,2084,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",50
2065,17,544,545,2084,2085,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",51
17,544,545,2084,2085,2085,1/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",52
544,545,2084,2085,2085,2101,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",53
545,2084,2085,2085,2101,17,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",54
2084,2085,2085,2101,17,2065,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",55
2085,2085,2101,17,2065,2577,1/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",56
2085,2101,17,2065,2577,2049,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",57
2101,17,2065,2577,2049,145,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",58
17,2065,2577,2049,145,145,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",59
2065,2577,2049,145,145,145,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",60
2577,2049,145,145,145,181,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",61
2049,145,145,145,181,37,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",62
145,145,145,181,37,53,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",63
145,145,181,37,53,49,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",64
145,181,37,53,49,33,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",65
181,37,53,49,33,33,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",66
37,53,49,33,33,2209,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",67
53,49,33,33,2209,2208,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",68
49,33,33,2209,2208,2224,1/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",69
33,33,2209,2208,2224,2228,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",70
33,2209,2208,2224,2228,2212,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",71
2209,2208,2224,2228,2212,20,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",72
2208,2224,2228,2212,20,17,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",73
2224,2228,2212,20,17,5,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",74
2228,2212,20,17,5,1,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",75
2212,20,17,5,1,1,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",76
20,17,5,1,1,17,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",77
17,5,1,1,17,17,2/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",78
5,1,1,17,17,513,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",79
1,1,17,17,513,2560,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",80
1,17,17,513,2560,2048,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",81
17,17,513,2560,2048,2561,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",82
17,513,2560,2048,2561,513,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",83
513,2560,2048,2561,513,517,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",84
2560,2048,2561,513,517,516,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",85
2048,2561,513,517,516,532,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",86
2561,513,517,516,532,528,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",87
513,517,516,532,528,529,2/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",88
517,516,532,528,529,517,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",89
516,532,528,529,517,516,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",90
532,528,529,517,516,512,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",91
528,529,517,516,512,513,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",92
529,517,516,512,513,2565,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",93
517,516,512,513,2565,2564,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",94
516,512,513,2565,2564,2561,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",95
512,513,2565,2564,2561,2561,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",96
513,2565,2564,2561,2561,2560,5/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",97
2565,2564,2561,2561,2560,2048,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",98
2564,2561,2561,2560,2048,2052,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",99
2561,2561,2560,2048,2052,2052,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",100
2561,2560,2048,2052,2052,2180,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",101
2560,2048,2052,2052,2180,2052,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",102
2048,2052,2052,2180,2052,2564,1/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",103
2052,2052,2180,2052,2564,2180,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",104
2052,2180,2052,2564,2180,2181,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",105
2180,2052,2564,2180,2181,2181,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",106
2052,2564,2180,2181,2181,132,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",107
2564,2180,2181,2181,132,132,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",108
2180,2181,2181,132,132,132,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",109
2181,2181,132,132,132,148,0.75,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",110
2181,132,132,132,148,145,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",111
132,132,132,148,145,2193,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",112
132,132,148,145,2193,2192,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",113
132,148,145,2193,2192,144,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",114
148,145,2193,2192,144,657,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",115
145,2193,2192,144,657,656,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",116
2193,2192,144,657,656,2704,1/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",117
2192,144,657,656,2704,528,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",118
144,657,656,2704,528,512,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",119
657,656,2704,528,512,512,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",120
656,2704,528,512,512,576,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",121
2704,528,512,512,576,2640,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",122
528,512,512,576,2640,2064,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",123
512,512,576,2640,2064,17,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",124
512,576,2640,2064,17,16,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",125
576,2640,2064,17,16,84,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",126
2640,2064,17,16,84,80,5/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",127
2064,17,16,84,80,208,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",128
17,16,84,80,208,80,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",129
16,84,80,208,80,596,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",130
84,80,208,80,596,517,2/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",131
80,208,80,596,517,645,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",132
208,80,596,517,645,129,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",133
80,596,517,645,129,129,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",134
596,517,645,129,129,129,5/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",135
517,645,129,129,129,2689,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",136
645,129,129,129,2689,2688,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",137
129,129,129,2689,2688,2176,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",138
129,129,2689,2688,2176,2688,1/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",139
129,2689,2688,2176,2688,2112,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",140
2689,2688,2176,2688,2112,64,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",141
2688,2176,2688,2112,64,128,1/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",142
2176,2688,2112,64,128,641,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",143
2688,2112,64,128,641,513,1/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",144
2112,64,128,641,513,641,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",145
64,128,641,513,641,129,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",146
128,641,513,641,129,2052,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",147
641,513,641,129,2052,2180,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",148
513,641,129,2052,2180,132,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",149
641,129,2052,2180,132,132,1/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",150
129,2052,2180,132,132,149,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",151
2052,2180,132,132,149,21,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",152
2180,132,132,149,21,17,5/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",153
132,132,149,21,17,145,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",154
132,149,21,17,145,661,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",155
149,21,17,145,661,660,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",156
21,17,145,661,660,660,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",157
17,145,661,660,660,660,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",158
145,661,660,660,660,20,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",159
661,660,660,660,20,81,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",160
660,660,660,20,81,209,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",161
660,660,20,81,209,145,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",162
660,20,81,209,145,2197,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",163
20,81,209,145,2197,2181,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",164
81,209,145,2197,2181,2053,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",165
209,145,2197,2181,2053,2181,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",166
145,2197,2181,2053,2181,133,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",167
2197,2181,2053,2181,133,149,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",168
2181,2053,2181,133,149,21,5/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",169
2053,2181,133,149,21,149,1/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",170
2181,133,149,21,149,144,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",171
133,149,21,149,144,2212,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",172
149,21,149,144,2212,2084,1/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",173
21,149,144,2212,2084,2212,7/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",174
149,144,2212,2084,2212,2741,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",175
144,2212,2084,2212,2741,2741,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",176
2212,2084,2212,2741,2741,17,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",177
2084,2212,2741,2741,17,657,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",178
2212,2741,2741,17,657,17,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",179
2741,2741,17,657,17,209,1/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",180
2741,17,657,17,209,17,1/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",181
17,657,17,209,17,145,1/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",182
657,17,209,17,145,145,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",183
17,209,17,145,145,145,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",184
209,17,145,145,145,721,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",185
17,145,145,145,721,705,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",186
145,145,145,721,705,577,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",187
145,145,721,705,577,705,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",188
145,721,705,577,705,2177,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",189
721,705,577,705,2177,2176,5/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",190
705,577,705,2177,2176,2176,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",191
577,705,2177,2176,2176,2128,1/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",192
705,2177,2176,2176,2128,2048,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",193
2177,2176,2176,2128,2048,2180,2/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",194
2176,2176,2128,2048,2180,132,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",195
2176,2128,2048,2180,132,645,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",196
2128,2048,2180,132,645,641,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",197
2048,2180,132,645,641,2561,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",198
2180,132,645,641,2561,2049,5/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",199
132,645,641,2561,2049,1,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",200
645,641,2561,2049,1,577,7/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",201
641,2561,2049,1,577,2625,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",202
2561,2049,1,577,2625,2624,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",203
2049,1,577,2625,2624,576,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",204
1,577,2625,2624,576,576,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",205
577,2625,2624,576,576,2752,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",206
2625,2624,576,576,2752,640,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",207
2624,576,576,2752,640,128,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",208
576,576,2752,640,128,128,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",209
576,2752,640,128,128,132,5/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",210
2752,640,128,128,132,132,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",211
640,128,128,132,132,2180,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",212
128,128,132,132,2180,2052,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",213
128,132,132,2180,2052,5,1/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",214
132,132,2180,2052,5,2052,1/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",215
132,2180,2052,5,2052,2068,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",216
2180,2052,5,2052,2068,2064,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",217
2052,5,2052,2068,2064,2080,2/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",218
5,2052,2068,2064,2080,160,7/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",219
2052,2068,2064,2080,160,176,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",220
